Input,Predicted,Actual
Don't lose them to her.,उसे उसे <unk> <unk> <unk> <unk> ।,उन्हें उसे खोना नहीं।
There is a storm coming.,<unk> <unk> <unk> <unk> है .,वहाँ एक तूफान आ रहा है।
You'll thank me later.,"<unk> , . . . .",तुम मुझे बाद में धन्यवाद करेंगे.
We changed your medication.,<unk> <unk> <unk> <unk> .,हमने तुम्हारी दवा बदल दी है.
( mutters ) OH YEAH.,( <unk> <unk> <unk> ),(बुदबुदाते) ओह हाँ.
Do you forgive him?,तुम मुझे <unk> <unk> ? ?,उसे क्षमा करते हो?
This isn't your fault.,यह <unk> <unk> नहीं नहीं ।,यह आपकी गलती नहीं है.
Is this Indu's house?,<unk> <unk> <unk> <unk> है है ?,क्या ये इंदु का घर है?
Just feast your fucking eyes!,<unk> <unk> <unk> <unk> <unk> !,बस दावत अपने कमबख्त आंखें!
- Can you maneuver?,आप <unk> <unk> <unk> ?,- क्या आप कुशलता दिखायेंगे ?
We've been through the records.,हम <unk> के के के है है .,हम रिकॉर्ड देख चुके हैं।
"You know, usual shit.","<unk> , , , , है .","तुम्हें पता है, हमेशा की तरह बकवास है।"
"If you're leaving, just go.","आप , , , , , रहे . .","अगर आप जा रहे हैं, तो चले जाइए."
That's my normal green.,<unk> <unk> <unk> <unk> है .,यह मेरा सामान्य हरा रंग है।
And the other brother?,<unk> <unk> <unk> <unk> है ?,और दूसरे भाई?
Here's to honor among thieves.,<unk> <unk> के <unk> <unk> है .,यहां चोरों के बीच सम्मान करने के लिए है।
It's about the American.,<unk> के के <unk> है है .,यह अमेरिका के बारे में है.
You changed it all.,<unk> <unk> <unk> <unk> .,आप यह सब बदल गया.
Get him out of here!,<unk> बाहर से बाहर ! !,उसे यहाँ से बाहर निकालो!
Then we will take Berk!,हम <unk> <unk> <unk> ! !,बर्क को मिटा देंगे!
Go ahead and open it?,"और , <unk> . है ?",खोलकर देखो.
It's always been me.,<unk> कारण है कि है . .,हमेशा से मैं ही रहा हूँ।
He asked for this.,<unk> के के लिए . .,वह इस बात के लिए पूछा.
"Okay, you take that one.","<unk> , तुम <unk> <unk> । .","ठीक है, तुम एक है कि ले."
"- Okay, helmets on.","<unk> , <unk> <unk> . .","- Okay, हेलमेट पहन लो ."
Listen to me once.,<unk> <unk> <unk> <unk> <unk> .,केवल एक बार मेरी बात सुनो.
Until six hours ago.,<unk> <unk> <unk> <unk> .,छह घंटे पहले तक।
"Just everything possible, I suppose.","<unk> <unk> , , <unk> <unk> <unk> .",मुझे लगता है सब संभव है।
I was just checking in.,<unk> <unk> <unk> <unk> . .,बेबे
I can handle the computer,क्या <unk> <unk> कर सकते हैं,मैं कंप्यूटर संभाल कर सकते हैं
"- Bobby, for Christ's sakes,","<unk> <unk> <unk> <unk> , <unk> <unk> <unk>","- भगवान के लिए बॉबी,"
Line of defense anymore.,<unk> <unk> <unk> <unk> <unk> .,Jaegers सबसे व्यवहार्य नहीं हैं.
"You can swivel, mate.","वे , <unk> , , कर हैं","तुम चक्कर लगा सकते हो, दोस्त।"
You can't get away!,नहीं नहीं नहीं नहीं !,तुम दूर नहीं जा सकते हो!
"Alai, come and explain.","<unk> , , और . .","अलाई, आओ और समझा."
Can I talk to Amaneh?,<unk> के के <unk> <unk> ? ?,क्या मैं आमने से बात कर सकता हूँ ?
"All right, we're in.","ठीक , , हम हम हैं हैं .",हम अंदर पहुंच गए।
And what was her name...?,<unk> . <unk> <unk> . . .,और क्या उसका नाम ... था?
- Mess you up.,आप <unk> <unk> . .,- गड़बड़ा दिया.
"""So click my photo...""",""" . . तस्वीर पर क्लिक . .","""तो मेरी तस्वीर पर क्लिक करें ..."""
Need your vote now.,<unk> <unk> <unk> <unk> <unk> .,अब आपका वोट चाहिए होगा।
Why you say that?,"तुम , क्या हो ?",क्यों?
Let me handle this.,"<unk> , यह <unk> कर .",मुझे इस संभाल.
One toy per child.,<unk> <unk> <unk> <unk> .,प्रति बच्चा एक खिलौना.
We'll be waiting for you.,मैं तुम्हें लिए लिए लिए .,-हम तुम्हारा इंतज़ार करेंगे।
"Cut the shit, I'm Hungarian.","<unk> <unk> , , , <unk> <unk> .","गंदगी काटो, मैं हंगेरी हूँ."
Turn on the plane.,<unk> <unk> <unk> .,विमान पर बारी!
And I'm tripling security.,"<unk> , <unk> <unk> <unk> . .",और मैं तीन गुना कर रहा हूँ सुरक्षा। / मैं
Now back to you.,तुम आप के के . .,अब आप को वापस.
"Emergency personnel, code blue.","<unk> <unk> , <unk> <unk> .","आपातकाल के कर्मियों , कोड नीला."
- Put your hands up.,<unk> <unk> <unk> <unk> .,- अपने हाथ ऊपर करो.
and that guy from 20/52...,और . . . . . .,और 20/52 से वह आदमी ...
My parents tried to run...,<unk> . . . . . .,मेरे माता-पिता को चलाने की कोशिश की ...
"I'm a man, okay?","क्या , है , ठीक है ?","मैं एक आदमी हूँ, ठीक है?"
At this time of night?,यह का <unk> <unk> है है,इतनी रात को?
"""I've no peace without you.""",""" , पागलपन पागलपन के लिए नहीं है । ""","""मैं तुम्हारे बिना शांति नहीं है।"""
"No, I can't do that.","<unk> , यह नहीं नहीं कर सकते हैं .",". = = नहीं, मैं ऐसा नहीं कर सकते."
I feel bad about that.,वह <unk> बारे बारे में बारे है,मैं उस बारे में बुरा लगता है.
If you say so.,तुम <unk> <unk> . .,यदि आप ऐसा कहते हैं तो.
- Where are they going?,वे वे रहे रहे हैं,-ये कहाँ जा रहे हैं ?
I can't really remember.,आप <unk> भी नहीं नहीं नहीं हैं,मुझे सच में याद नहीं है.
What am I doing?,"<unk> , <unk> कर कर ?",मैं क्या कर रहा हूँ?
I told him I was...,"<unk> , <unk> <unk> <unk> . .",मैं मैं था उसे बताया...
Moving to level 3.,<unk> <unk> <unk> <unk> . .,स्तर 2 सुरक्षित. स्तर 3 से चल रहा है.
- We were playing soccer.,<unk> <unk> <unk> <unk> .,- हम फुटबॉल खेल रहे थे.
She wants a divorce,<unk> एक <unk> <unk> है,रोजीने को तलाक चाहिए
A warrior the world salutes...,<unk> . <unk> . . . .,A warrior the world salutes...
Where are you going?,तुम क्या हो रहे हो,तुम कहाँ जा रहे हो?
"What do you mean, ""gone""?","तुम तुम , , , , "" ?","आप, क्या ""चला गया"" मतलब है?"
She's the Indian Ambassador's daughter.,<unk> <unk> <unk> <unk> <unk> है है,वह भारतीय राजदूत की बेटी है।
