Input,Predicted,Actual
They're not from these woods.,<unk> <unk> <unk> नहीं नहीं . .,इन जंगल से नहीं कर रहे हैं.
He was my best friend.,"<unk> मेरी दोस्त , था .",वह मेरा सबसे अच्छा दोस्त था
"It is an honor, sir.","<unk> एक है , है है ।","यह साहब, एक सम्मान की बात है."
You must crucify him !,<unk> उसे <unk> ! ! !,तुम्हें उसे फांसी पर चढ़ाना ही चाहिए!
What are they doing?,<unk> वे वे कर रहे हैं,वे क्या कर रहे हैं?
Just let him go.,<unk> उसे जाना ।,बस उसे जाने दिया.
I think it's 15.,<unk> <unk> कि <unk> <unk> है .,मुझे लगता है कि 15 है.
Light of my life.,मेरे <unk> की में . .,मेरे जीवन का प्रकाश.
(MAN SHOUTING IN URDU),( <unk> <unk> <unk> ),"फ़ॉन्ट रंग = ""# D900D9"" (व्यक्ति उर्दू में चिल्ला)"
You're messing up his hair.,<unk> <unk> के <unk> कर कर ।,आप अपने बालों से खिलवाड़ कर रहे हैं.
"- Help me, I'm slipping!","<unk> मुझे <unk> , <unk> <unk>","- मेरी मदद करो, मैं फिसल रहा हूँ!"
"Fuck you, you fucking devil!","<unk> तुम्हें तुम्हें , तुम ! !","तुम शैतान कमबख्त, भाड़ में जाओ तुम!"
Are you completely mad?,<unk> तुम <unk> को ? ?,आप पूरी तरह से पागल हो रहे हैं?
"Dad called me, all right.","<unk> मुझे मुझे मुझे मुझे , , ,","पिताजी ने मुझे फोन किया, ठीक है."
Don't make me shoot you.,<unk> <unk> नहीं नहीं नहीं .,मुझे तुम्हें गोली मार मत बनाओ।
"Pandu, will they rape me?","<unk> , <unk> मुझे मुझे मुझे मुझे ?","पांडु, वे मेरे साथ बलात्कार करेगा?"
What should I do now?,<unk> क्यों क्यों क्यों किया ? ?,अब मुझे क्या करना चाहिए?
Boring guys. You know.,<unk> <unk> <unk> <unk> . . .,उपर नौकरशाही प्रशासन में.
[ INSECTS CHIRPING ],[ <unk> <unk> ] ],[चहकती कीड़े]
Six-one is going down hard.,एक कार में में है .,छह-एक कठिन नीचे जा रहा है।
Neck like a giraffe.,<unk> <unk> <unk> <unk> .,मोटी होंठ...
Ten seconds to live fire.,<unk> के के लिए . .,दस सेकंड आग जीने के लिए.
The government district too?,<unk> <unk> कुछ भी <unk> ?,सरकार जिले भी?
I'm glad you got here.,<unk> <unk> के <unk> <unk> <unk> . .,मुझे खुशी है कि तुम यहाँ हो गया हूँ।
So that's Pelle's father.,<unk> <unk> <unk> <unk> है है है,तो यही है पेले के पिता.
"Judith, you nailed another one.","<unk> <unk> , <unk> एक <unk> . .","जूडिथ, आप एक दूसरे से किसी न किसी"
She's in the hospital now.,<unk> <unk> में में है .,अभी वह अस्पताल में है.
You signed my death warrant.,<unk> <unk> <unk> <unk> <unk> . .,तुमने मेरी मौत का फ़रमान ज़ारी करवा दिया है।
A man pays his debts.,<unk> <unk> <unk> <unk> <unk>,एक आदमी अपने ऋण भुगतान करता है।
My life stopped there.,<unk> में में में है है,मेरी जींदगी वही रुक गई
What do you mean?,<unk> कुछ कुछ है है ?,क्या मतलब है तुम्हारा?
What are you doing?,<unk> तुम क्या कर रहे हो,आप क्या कर रहे हैं?
"Klaus, aren't you team muscle?","<unk> , <unk> <unk> नहीं नहीं नहीं नहीं ?","क्लाउस, आप टीम पेशी नहीं कर रहे हैं?"
What are you doing?,<unk> तुम क्या कर रहे हो,तुम क्या कर रहे हो?
The drones will handle this.,<unk> <unk> <unk> <unk> .,ड्रोन इस संभाल लेंगे.
Explain it to him.,<unk> उसे बात लिए है .,उसे यह समझाओ.
Pretend there is a Island.,<unk> एक <unk> है .,एक द्वीप भी है नाटक.
I couldn't endure it.,<unk> <unk> <unk> नहीं नहीं नहीं .,मैं इसे सहन नहीं कर सका।
- ( Pup cries ),( <unk> <unk> ),- (पिल्ला रोता)
"Be careful, that's treason.","<unk> , , , <unk> <unk> .","सावधान रहो, यह देशद्रोह है."
They're right there with you.,<unk> आप आप साथ हैं . . .,वो वहीँ तुम्हारे साथ होंगे .
- We will take it.,<unk> इसे <unk> होगा .,-हम इसे ज़ब्त कर लेंगे.
Do what you gotta do.,<unk> क्या क्या क्या है .,तुम जो करना चाहते हो करो।
"Please, Erik, calm your mind.","<unk> , <unk> , , , ,","कृपया,एरिक! अपने मन को शांत ."
"""Sweetheart I swear on you.""",""" <unk> <unk> पर पर कसम खाता । ""","""जानेमन मैं तुम पर कसम खाता हूँ।"""
I'm your only friend.,<unk> अपने पिता <unk> <unk> है .,मैं अपने ही दोस्त हूँ.
A dozen of my men.,<unk> <unk> <unk> <unk> <unk> . .,मेरी पुरुषों के एक दर्जन से अधिक।
You'll have to excuse me.,<unk> मुझे लिए लिए . .,आप मुझे माफ करना होगा.
"Well, tough. I called it.","<unk> , , <unk> <unk> <unk> है . .","यही बात है, मैं यह कहा!"
You call me murderer?,<unk> मुझे मुझे मुझे <unk> ?,तुम मुझे कातिल कहते हैं?
- and take him home.,और घर घर घर । ।,... और उसे घर ले।
"ALL RIGHT, OUT YOU GET.","<unk> <unk> <unk> , <unk> <unk> .","ठीक है, तुम हट जाओ."
"Why not floories, right?",<unk> नहीं नहीं नहीं नहीं नहीं नहीं,"क्यों नहीं floories, है ना?"
It won't be so bad.,<unk> कुछ नहीं नहीं . .,इतना बुरा नहीं होगा.
Let's secure all nuclear sites.,<unk> <unk> <unk> <unk> <unk> .,के सभी परमाणु स्थलों को सुरक्षित करते हैं.
